polarity,homeless,homeless_trend
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.6249,1599,-140
0.6249,1599,-140
0.6249,1599,-140
0.5994,5061,2024
0.5093,5813,1624
0.765,4,-9
0.6633,5813,1624
0.7269,5813,1624
0.5927,5061,2024
0.6249,5813,1624
0.5574,1166,426
0.7184,4,-9
0.7506,4,-9
0.5719,4,-9
0.5719,4,-9
0.5994,165,44
0.9022,816,5
0.7003,4,-9
0.5719,251,82
0.5859,4,-9
0.69,1708,368
0.7783,0,-1215
0.7096,1599,-140
0.5719,493,4
0.5574,497,115
0.7263,4,-9
0.7269,750,120
0.8176,4,-9
0.5267,266,-51
0.5423,2582,2582
0.6908,266,-51
0.8442,165,44
0.9246,4,-9
0.5719,2582,2582
0.5859,1166,426
0.7964,5813,1624
0.8553,5061,2024
0.8225,5813,1624
0.7959,1708,368
0.6705,1166,426
0.6369,5813,1624
0.9037,1599,-140
0.9001,5813,1624
0.5399,4,-9
0.8953,1708,368
0.8555,1708,368
0.6892,4,-9
0.7783,4,-9
0.6249,4,-9
0.872,2582,2582
0.6369,1708,368
0.6202,5813,1624
0.5563,327,48
0.6705,4,-9
0.7184,4,-9
0.743,1708,368
0.6249,4,-9
0.8519,5061,2024
0.6369,5061,2024
0.807,4,-9
0.7959,4,-9
0.5994,5061,2024
0.6124,4,-9
0.743,5813,1624
0.6249,4,-9
0.743,4,-9
0.743,4,-9
0.743,4,-9
0.743,4,-9
0.8016,4,-9
0.8016,4,-9
0.8016,4,-9
0.8016,4,-9
0.8481,289,120
0.8481,289,120
0.8481,289,120
0.8481,289,120
0.7184,5813,1624
0.7184,5813,1624
0.7184,5813,1624
0.7184,5813,1624
0.9133,5061,2024
0.9133,5061,2024
0.9133,5061,2024
0.9133,5061,2024
0.6476,212,84
0.6476,212,84
0.6476,212,84
0.6476,212,84
0.9201,266,-51
0.9201,266,-51
0.9201,266,-51
0.9201,266,-51
0.5106,4,-9
0.5106,4,-9
0.5106,4,-9
0.5106,4,-9
0.5255,4,-9
0.5255,4,-9
0.5255,4,-9
0.5255,4,-9
0.658,289,120
0.658,289,120
0.658,289,120
0.658,289,120
0.7574,4,-9
0.7574,4,-9
0.7574,4,-9
0.7574,4,-9
0.5859,1599,-140
0.5859,1599,-140
0.5859,1599,-140
0.5859,1599,-140
0.5707,5061,2024
0.5707,5061,2024
0.5707,5061,2024
0.5707,5061,2024
0.7003,5061,2024
0.7003,5061,2024
0.7003,5061,2024
0.7003,5061,2024
0.8126,0,-1215
0.8126,0,-1215
0.8126,0,-1215
0.8126,0,-1215
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.7269,4,-9
0.7269,4,-9
0.7269,4,-9
0.7269,4,-9
0.5719,411,51
0.5719,411,51
0.5719,411,51
0.5719,411,51
0.836,4,-9
0.836,4,-9
0.836,4,-9
0.836,4,-9
0.8402,497,115
0.8402,497,115
0.8402,497,115
0.8402,497,115
0.6663,444,136
0.6663,444,136
0.6663,444,136
0.6663,444,136
0.5719,5061,2024
0.5719,5061,2024
0.5719,5061,2024
0.5719,5061,2024
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.5994,1708,368
0.5994,1708,368
0.5994,1708,368
0.5994,1708,368
0.5719,4,-9
0.5719,4,-9
0.5719,4,-9
0.5719,4,-9
0.8402,4,-9
0.8402,4,-9
0.8402,4,-9
0.8402,4,-9
0.6588,4,-9
0.6588,4,-9
0.6588,4,-9
0.6588,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.765,3129,3129
0.765,3129,3129
0.765,3129,3129
0.765,3129,3129
0.5707,4,-9
0.5707,4,-9
0.5707,4,-9
0.5707,4,-9
0.6688,679,-49
0.6688,679,-49
0.6688,679,-49
0.6688,679,-49
0.7096,14,-17
0.7096,14,-17
0.7096,14,-17
0.7096,14,-17
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.8225,4,-9
0.8225,4,-9
0.8225,4,-9
0.8225,4,-9
